 Count  Overhead File                    Line Function
     9         0 …mpiler/methodtable.jl    95 _findall
     9         9 @Base/reflection.jl     1182 _methods_by_ftype(t::Any, mt::Not…
     9         0 …ler/ssair/inlining.jl    81 ssa_inlining_pass!
     9         8 @Base/broadcast.jl      1228 dotview
     9         0 …PEPS/src/Ok_and_Ek.jl     7 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     9         0 …fPEPS/src/sampling.jl   127 get_sample
    13         0 …evolve/integrators.jl    44 (::QuantumNaturalGradient.Euler)(…
    13         0 …nt/NaturalGradient.jl   175 NaturalGradient_timeit_wrapper
    13         0 …nt/NaturalGradient.jl   177 NaturalGradient_timeit_wrapper(θ:…
    13         0 …nt/NaturalGradient.jl    52 kwcall(::@NamedTuple{sample_nr::I…
    14         0 @Base/client.jl          531 _start()
    14         0 @Base/client.jl          323 exec_options(opts::Base.JLOptions)
    14         0 @Base/Base.jl            557 include(mod::Module, _path::Strin…
    14         0 @Base/loading.jl        2794 _include(mapexpr::Function, mod::…
    14         0 @Base/loading.jl        2734 include_string(mapexpr::typeof(id…
    14         0 @Base/boot.jl            430 eval
    14         0 …file_reference_cpu.jl   299 main()
    14         0 …file_reference_cpu.jl   208 kwcall(::@NamedTuple{sample_nr::I…
    14         0 …file_reference_cpu.jl   237 run_profiled(factory::typeof(make…
    14         0 …rofile/src/Profile.jl    58 macro expansion
    14         0 …file_reference_cpu.jl   174 run_scenario
    14         0 …file_reference_cpu.jl   182 run_scenario(case::@NamedTuple{na…
    14         0 …/src/evolve/evolve.jl   119 kwcall(::@NamedTuple{integrator::…
    14         0 …/src/evolve/evolve.jl   170 evolve(Oks_and_Eks_::QuantumNatur…
    14         0 …/src/evolve/evolve.jl   176 evolve!(state::QuantumNaturalGrad…
    14         0 …/src/evolve/evolve.jl   200 step!(o::QuantumNaturalGradient.O…
    14         0 …evolve/integrators.jl    38 kwcall(::@NamedTuple{sample_nr::I…
    19         0 …ractinterpretation.jl   102 abstract_call_gf_by_type(interp::…
    19         0 …ractinterpretation.jl   660 abstract_call_method(interp::Core…
    19         0 …compiler/typeinfer.jl   923 typeinf_edge(interp::Core.Compile…
    20         0 …compiler/typeinfer.jl   244 _typeinf(interp::Core.Compiler.Na…
    20         0 …ractinterpretation.jl  3413 typeinf_nocycle(interp::Core.Comp…
    20         0 …ractinterpretation.jl  3331 typeinf_local(interp::Core.Compil…
    20         0 …ractinterpretation.jl  3068 abstract_eval_basic_statement(int…
    20         0 …ractinterpretation.jl  2752 abstract_eval_statement(interp::C…
    20         0 …ractinterpretation.jl  2454 abstract_eval_statement_expr(inte…
    20         0 …ractinterpretation.jl  2438 abstract_eval_call(interp::Core.C…
    20         0 …ractinterpretation.jl  2423 abstract_call(interp::Core.Compil…
    20         0 …ractinterpretation.jl  2275 abstract_call(interp::Core.Compil…
    20         0 …ractinterpretation.jl  2282 abstract_call(interp::Core.Compil…
    20         0 …ractinterpretation.jl  2200 abstract_call_known(interp::Core.…
    23         0 …compiler/typeinfer.jl   265 finish_nocycle(::Core.Compiler.Na…
    23         0 …/compiler/optimize.jl   983 optimize(interp::Core.Compiler.Na…
    23         0 …/compiler/optimize.jl  1009 run_passes_ipo_safe
    23         0 …/compiler/optimize.jl   994 run_passes_ipo_safe(ci::Core.Code…
    25         0 …compiler/typeinfer.jl   249 _typeinf(interp::Core.Compiler.Na…
    27        18 …aturalfPEPS/src/Ok.jl    59 get_Ok(peps::PEPS, env_top::Vecto…
    33        32 …EPS/src/tensor_ops.jl    26 permute_reshape_and_copy!(dest::S…
    38         0 …compiler/typeinfer.jl   215 typeinf(interp::Core.Compiler.Nat…
    39         0 …compiler/typeinfer.jl  1135 typeinf_ext_toplevel(mi::Core.Met…
    39         0 …compiler/typeinfer.jl  1139 typeinf_ext_toplevel(interp::Core…
    39         0 …compiler/typeinfer.jl  1101 typeinf_ext(interp::Core.Compiler…
    92        90 …s_and_Eks_threaded.jl    65 macro expansion
   277       230 …EPS/src/tensor_ops.jl    19 permute_reshape_and_copy!(dest::S…
   573       291 …aturalfPEPS/src/Ok.jl    56 get_Ok(peps::PEPS, env_top::Vecto…
   633        22 …aturalfPEPS/src/Ok.jl    31 kwcall(::@NamedTuple{h_envs_r::Ma…
   646        13 …PEPS/src/Ok_and_Ek.jl    22 Ok_and_Ek(peps::PEPS, ham_op::Qua…
   664         0 …PEPS/src/Ok_and_Ek.jl     3 kwcall(::@NamedTuple{Ok::SubArray…
   808       139 …s_and_Eks_threaded.jl    66 macro expansion
   900         0 …hreadingconstructs.jl   154 (::Base.Threads.var"#1#2"{Quantum…
   900         0 …hreadingconstructs.jl   220 #46549#threadsfor_fun
   900         0 …hreadingconstructs.jl   253 (::QuantumNaturalfPEPS.var"#46549…
Total snapshots: 1860. Utilization: 86% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
