 Count  Overhead File                    Line Function
     8         0 …PEPS/src/Ok_and_Ek.jl    20 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     8         0 …nericEksAndOks/Eks.jl   139 kwcall(::@NamedTuple{get_flip_sit…
    10         0 …/compiler/ssair/ir.jl  1809 iterate_compact(compact::Core.Com…
    11         0 …ractinterpretation.jl  2279 abstract_call(interp::Core.Compil…
    11         0 …ractinterpretation.jl  2269 abstract_call_unknown(interp::Cor…
    11         0 …ler/ssair/inlining.jl   700 batch_inline!(ir::Core.Compiler.I…
    12         0 …ractinterpretation.jl  1278 const_prop_call(interp::Core.Comp…
    12         0 …/compiler/ssair/ir.jl  1731 iterate
    13        13 …aturalfPEPS/src/Ek.jl   343 get_Ek(peps::PEPS, ham_op::Quantu…
    14         0 …ractinterpretation.jl   853 abstract_call_method_with_const_a…
    14         0 …ler/ssair/inlining.jl    81 ssa_inlining_pass!
    15         0 …ractinterpretation.jl   111 abstract_call_gf_by_type(interp::…
    15         0 …ractinterpretation.jl   823 abstract_call_method_with_const_a…
    16         0 …aturalfPEPS/src/Ek.jl   332 kwcall(::@NamedTuple{h_envs_r::Ma…
    20         0 …olver/eigen_solver.jl    21 (::QuantumNaturalGradient.EigenSo…
    21         0 …nt/NaturalGradient.jl    53 QuantumNaturalGradient.NaturalGra…
    21         0 …s_and_Eks_threaded.jl    15 (::QuantumNaturalfPEPS.var"#Oks_a…
    23         0 …mpiler/methodtable.jl   109 findall(sig::Type, table::Core.Co…
    25         0 …ractinterpretation.jl   312 find_matching_methods(𝕃::Core.Com…
    25         0 …mpiler/methodtable.jl    68 findall
    25         0 …mpiler/methodtable.jl    68 #findall#309
    25         0 …mpiler/methodtable.jl    95 _findall
    25        25 @Base/reflection.jl     1182 _methods_by_ftype(t::Any, mt::Not…
    26         0 …nt/NaturalGradient.jl    93 kwcall(::@NamedTuple{timer::Timer…
    26         0 …nt/NaturalGradient.jl   112 QuantumNaturalGradient.NaturalGra…
    26         0 …/src/solver/solver.jl    20 kwcall(::@NamedTuple{timer::Timer…
    26         0 …/src/solver/solver.jl    22 (::QuantumNaturalGradient.EigenSo…
    26         0 …/src/solver/solver.jl    10 kwcall(::@NamedTuple{timer::Timer…
    26         0 …/src/solver/solver.jl    14 solve_T(solver::QuantumNaturalGra…
    26         0 …ractinterpretation.jl    25 abstract_call_gf_by_type(interp::…
    26         0 …mpiler/methodtable.jl   100 findall
    29        27 @Base/broadcast.jl      1228 dotview
    31         1 …nt/NaturalGradient.jl    90 QuantumNaturalGradient.NaturalGra…
    35         0 …ractinterpretation.jl  3044 abstract_eval_basic_statement(int…
    54         0 …/src/evolve/evolve.jl   170 evolve(Oks_and_Eks_::QuantumNatur…
    54         0 …/src/evolve/evolve.jl   176 evolve!(state::QuantumNaturalGrad…
    54         0 …/src/evolve/evolve.jl   200 step!(o::QuantumNaturalGradient.O…
    54         0 …evolve/integrators.jl    38 kwcall(::@NamedTuple{sample_nr::I…
    54         0 …evolve/integrators.jl    44 (::QuantumNaturalGradient.Euler)(…
    54         0 …nt/NaturalGradient.jl   175 NaturalGradient_timeit_wrapper
    54         0 …nt/NaturalGradient.jl   177 NaturalGradient_timeit_wrapper(θ:…
    54         0 …nt/NaturalGradient.jl    52 kwcall(::@NamedTuple{sample_nr::I…
    54         0 …/compiler/optimize.jl   983 optimize(interp::Core.Compiler.Na…
    54         0 …/compiler/optimize.jl  1009 run_passes_ipo_safe
    54         0 …/compiler/optimize.jl   994 run_passes_ipo_safe(ci::Core.Code…
    55         0 …compiler/typeinfer.jl   265 finish_nocycle(::Core.Compiler.Na…
    56         0 …file_reference_cpu.jl   182 run_scenario(case::@NamedTuple{na…
    56         1 …/src/evolve/evolve.jl   119 kwcall(::@NamedTuple{integrator::…
    57         0 @Base/client.jl          531 _start()
    57         0 @Base/client.jl          323 exec_options(opts::Base.JLOptions)
    57         0 @Base/Base.jl            557 include(mod::Module, _path::Strin…
    57         0 @Base/loading.jl        2794 _include(mapexpr::Function, mod::…
    57         0 @Base/loading.jl        2734 include_string(mapexpr::typeof(id…
    57         0 @Base/boot.jl            430 eval
    57         0 …file_reference_cpu.jl   299 main()
    57         0 …file_reference_cpu.jl   208 kwcall(::@NamedTuple{sample_nr::I…
    57         0 …file_reference_cpu.jl   237 run_profiled(factory::typeof(make…
    57         0 …rofile/src/Profile.jl    58 macro expansion
    57         0 …file_reference_cpu.jl   174 run_scenario
    66         0 …compiler/typeinfer.jl   249 _typeinf(interp::Core.Compiler.Na…
    68        66 …EPS/src/tensor_ops.jl    26 permute_reshape_and_copy!(dest::S…
    77         0 …ractinterpretation.jl   102 abstract_call_gf_by_type(interp::…
    77         0 …ractinterpretation.jl   660 abstract_call_method(interp::Core…
    77         0 …compiler/typeinfer.jl   923 typeinf_edge(interp::Core.Compile…
    80         0 …ractinterpretation.jl  3068 abstract_eval_basic_statement(int…
    81         0 …ractinterpretation.jl  2282 abstract_call(interp::Core.Compil…
    81         0 …ractinterpretation.jl  2200 abstract_call_known(interp::Core.…
    82         0 …compiler/typeinfer.jl   244 _typeinf(interp::Core.Compiler.Na…
    82         0 …ractinterpretation.jl  3413 typeinf_nocycle(interp::Core.Comp…
    82         0 …ractinterpretation.jl  3331 typeinf_local(interp::Core.Compil…
