device,sm_count,threads_per_block,blocks,total_threads,warmup_runs,target_launches_per_run,launches_per_run_used,stride_bytes,stride_elements,run_idx,kernel_ms,read_bytes,achieved_bandwidth_gbps
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,1024,128,11,0.113664,7962624,70.0541
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,1024,128,12,0.11264,7962624,70.6909
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,1024,128,13,0.113664,7962624,70.0541
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,1024,128,14,0.116736,7962624,68.2105
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,1024,128,15,0.114688,7962624,69.4286
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,1024,128,16,0.11264,7962624,70.6909
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,1024,128,17,0.113664,7962624,70.0541
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,1024,128,18,0.115712,7962624,68.8142
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,1024,128,19,0.113664,7962624,70.0541
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,2048,256,0,0.116736,7962624,68.2105
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,2048,256,1,0.118784,7962624,67.0345
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,2048,256,2,0.11776,7962624,67.6174
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,2048,256,3,0.11776,7962624,67.6174
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,2048,256,4,0.11776,7962624,67.6174
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,2048,256,5,0.118784,7962624,67.0345
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,2048,256,6,0.118784,7962624,67.0345
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,2048,256,7,0.119808,7962624,66.4615
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,2048,256,8,0.116736,7962624,68.2105
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,2048,256,9,0.118784,7962624,67.0345
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,2048,256,10,0.116736,7962624,68.2105
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,2048,256,11,0.118784,7962624,67.0345
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,2048,256,12,0.11776,7962624,67.6174
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,2048,256,13,0.118784,7962624,67.0345
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,2048,256,14,0.11776,7962624,67.6174
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,2048,256,15,0.11776,7962624,67.6174
